periodid,periodname,periodcode,perioddescription,dataid,dataname,datacode,datadescription,Total
201201,Jan-12,201201,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],13
201202,Feb-12,201202,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],45
201203,Mar-12,201203,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],23
201204,Apr-12,201204,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],21
201205,May-12,201205,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201206,Jun-12,201206,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],30
201207,Jul-12,201207,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201208,Aug-12,201208,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],21
201209,Sep-12,201209,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],52
201210,Oct-12,201210,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201211,Nov-12,201211,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201212,Dec-12,201212,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],13
201301,Jan-13,201301,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],15
201302,Feb-13,201302,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],20
201303,Mar-13,201303,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],11
201304,Apr-13,201304,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],15
201305,May-13,201305,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],16
201306,Jun-13,201306,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],10
201307,Jul-13,201307,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201308,Aug-13,201308,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201309,Sep-13,201309,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201310,Oct-13,201310,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],20
201311,Nov-13,201311,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
