Month,MMR
2012-01,67
2012-02,104
2012-03,71
2012-04,89
2012-05,92
2012-06,97
2012-07,91
2012-08,105
2012-09,117
2012-10,95
2012-11,91
2012-12,94
2013-01,66
2013-02,97
2013-03,101
2013-04,115
2013-05,113
2013-06,81
2013-07,106
2013-08,86
2013-09,73
2013-10,90
2013-11,92
2013-12,82
2014-01,84
2014-02,97
2014-03,83
2014-04,89
2014-05,106
2014-06,90
2014-07,92
2014-08,85
2014-09,108
2014-10,92
2014-11,63
2014-12,82
2015-01,94
2015-02,89
2015-03,75
2015-04,65
2015-05,117
2015-06,81
2015-07,177
2015-08,126
2015-09,178
2015-10,229
2015-11,123
2015-12,189
2016-01,115
2016-02,228
2016-03,108
2016-04,374
2016-05,124
2016-06,134
2016-07,76
2016-08,87
2016-09,71
2016-10,107
2016-11,306
2016-12,72
2017-01,85
2017-02,105
2017-03,115
2017-04,184
2017-05,95
2017-06,235
2017-07,100
2017-08,71
2017-09,87
2017-10,87
2017-11,79
2017-12,94
2018-01,90
2018-02,100
2018-03,82
2018-04,110
2018-05,101
2018-06,110
2018-07,112
2018-08,106
2018-09,111
2018-10,74
2018-11,91
2018-12,82
2019-01,89
2019-02,79
2019-03,98
2019-04,75
2019-05,82
2019-06,84
2019-07,89
2019-08,91
2019-09,116
2019-10,106
2019-11,84
2019-12,100
